"","3 Y 2018-05-29 to 2021-06-03","3 Y 2018-06-29 to 2021-07-04","3 Y 2018-07-30 to 2021-08-03","3 Y 2018-08-29 to 2021-09-03","3 Y 2018-10-01 to 2021-10-04","3 Y 2018-10-29 to 2021-11-03","3 Y 2018-11-29 to 2021-12-04","3 Y 2018-12-31 to 2022-01-03","3 Y 2019-01-29 to 2022-02-03","3 Y 2019-03-01 to 2022-03-06","3 Y 2019-03-29 to 2022-04-03","3 Y 2019-04-29 to 2022-05-04","3 Y 2019-05-29 to 2022-06-03","3 Y 2019-07-02 to 2022-07-04","3 Y 2019-07-29 to 2022-08-03","3 Y 2019-08-29 to 2022-09-03"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",16.387,17.227,19.087,20.349,18.846,23.146,19.674,23.321,15.449,14.703,15.111,11.494,11.442,6.549,9.498,11.908
"B Annualized Returns",7.991,7.956,7.766,9.056,8.013,12.185,11.076,14.582,11.715,10.418,10.978,8.696,9.825,5.6,6.409,5.739
"AR DIFF(P-B)",8.396,9.271,11.321,11.293,10.833,10.961,8.598,8.739,3.734,4.285,4.133,2.798,1.617,0.949000000000001,3.089,6.169
"P Volatility",22.53,22.86,23.42,21.76,20.55,22.25,22.07,22.27,22.31,21.05,22.13,22.89,23.7,21.55,23.01,25.41
"B Volatility",17.09,17.33,17.11,17.05,16.63,16.74,16.18,15.72,15.56,15.58,15.75,15.64,15.72,15.95,16.47,16.47
"V DIFF(P-B)",5.44,5.53,6.31,4.71,3.92,5.51,5.89,6.55,6.75,5.47,6.38,7.25,7.98,5.6,6.54,8.94
"P Tracking Error",10.01,9.27,11.72,8.56,8.1,9.43,9.46,12.45,12.21,10.01,11.45,13.42,12.34,10.82,11.43,11.37
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",0.84,1,0.97,1.32,1.34,1.16,0.91,0.7,0.31,0.43,0.36,0.21,0.13,0.09,0.27,0.54
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.65,0.74,0.82,0.78,0.7,0.6,0.44,0.48,0.34,0.15,0.17,0.04,-0.06,0.08,0.19,0.4
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.2,1.23,1.2,1.19,1.14,1.23,1.26,1.19,1.22,1.21,1.22,1.2,1.33,1.18,1.24,1.45
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",81.94,86.09,76.48,86.27,85.38,84.45,84.8,69.61,71.57,79.09,75.02,66.57,76.98,75.87,77.53,88.24
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-35.1244,-35.1553,-33.5942,-33.9987,-33.4266,-34.4819,-36.2554,-34.0242,-33.0179,-34.6691,-33.858,-32.7563,-36.936,-34.1034,-34.4047,-39.0884
"B Max Drawdown",-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265
"MD DIFF(P-B)",0.6021,0.571200000000005,2.1323,1.7278,2.2999,1.2446,-0.5289,1.7023,2.7086,1.0574,1.8685,2.9702,-1.2095,1.6231,1.3218,-3.3619
