"","3 Y 2016-03-01 to 2019-03-06","3 Y 2016-04-01 to 2019-04-06","3 Y 2016-05-02 to 2019-05-06","3 Y 2016-06-01 to 2019-06-06","3 Y 2016-07-04 to 2019-07-06","3 Y 2016-08-02 to 2019-08-06","3 Y 2016-09-01 to 2019-09-06","3 Y 2016-10-03 to 2019-10-06","3 Y 2016-11-01 to 2019-11-06","3 Y 2016-12-01 to 2019-12-06","3 Y 2017-01-03 to 2020-01-06","3 Y 2017-02-01 to 2020-02-06","3 Y 2017-03-01 to 2020-03-06","3 Y 2017-04-03 to 2020-04-06","3 Y 2017-05-01 to 2020-05-06","3 Y 2017-06-01 to 2020-06-06","3 Y 2017-07-04 to 2020-07-06","3 Y 2017-08-01 to 2020-08-06","3 Y 2017-09-01 to 2020-09-06","3 Y 2017-10-02 to 2020-10-06","3 Y 2017-11-01 to 2020-11-06","3 Y 2017-12-01 to 2020-12-06","3 Y 2018-01-02 to 2021-01-06","3 Y 2018-02-01 to 2021-02-06","3 Y 2018-03-01 to 2021-03-06","3 Y 2018-04-02 to 2021-04-06","3 Y 2018-05-01 to 2021-05-06","3 Y 2018-06-01 to 2021-06-06","3 Y 2018-07-03 to 2021-07-06","3 Y 2018-08-01 to 2021-08-06","3 Y 2018-09-04 to 2021-09-06","3 Y 2018-10-01 to 2021-10-06","3 Y 2018-11-01 to 2021-11-06","3 Y 2018-12-03 to 2021-12-06","3 Y 2019-01-02 to 2022-01-06","3 Y 2019-02-01 to 2022-02-06","3 Y 2019-03-01 to 2022-03-06","3 Y 2019-04-01 to 2022-04-06","3 Y 2019-05-01 to 2022-05-06","3 Y 2019-06-03 to 2022-06-06","3 Y 2019-07-02 to 2022-07-06","3 Y 2019-08-01 to 2022-08-06","3 Y 2019-09-03 to 2022-09-06"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",29.764,36.046,37.868,26.193,33.805,17.382,20.949,19.296,15.867,15.673,16.562,18.081,13.338,6.943,16.955,14.304,18.09,19.879,15.919,17.776,20.641,17.236,17.057,19.605,16.109,18.282,16.234,18.684,19.66,21.505,24.45,20.888,23.7,20.426,19.407,14.813,12.98,14.428,12.19,14.829,6.356,10.134,10.005
"B Annualized Returns",7.667,7.601,6.765,5.31,6.192,5.153,4.776,4.534,5.232,4.21,3.913,4.93,2.211,-4.458,-0.449,1.003,1.868,3.155,3.745,1.867,0.663,2.986,2.48,5.642,5.489,7.731,7.218,7.941,8.083,8.095,9.056,8.385,12.383,11.076,13.746,11.231,10.418,10.932,8.125,9.825,4.934,7.2,5.739
"AR DIFF(P-B)",22.097,28.445,31.103,20.883,27.613,12.229,16.173,14.762,10.635,11.463,12.649,13.151,11.127,11.401,17.404,13.301,16.222,16.724,12.174,15.909,19.978,14.25,14.577,13.963,10.62,10.551,9.016,10.743,11.577,13.41,15.394,12.503,11.317,9.35,5.661,3.582,2.562,3.496,4.065,5.004,1.422,2.934,4.266
"P Volatility",25.5,26.72,26.75,29.16,27.9,28.14,25.04,23.53,17.28,14.56,15.76,15.92,15.8,19.98,25.52,27.55,26.98,25.88,25.74,24.61,25.45,22.27,22.22,19.8,19.7,21.1,20.65,20.09,19.72,19.81,20.55,21.53,20.62,21.5,20.79,23.57,21.48,22.51,21.22,24.63,26.19,25.07,25.63
"B Volatility",9.85,9.77,9.89,10.08,9.9,9.9,9.9,9.93,9.91,10.05,10.07,10.15,10.54,14.95,15.84,15.95,15.94,16.22,16.15,16.15,16.28,17.18,17.16,17.02,17.05,17.07,17.05,17.09,17.11,17.09,17.05,16.5,16.74,16.18,15.55,15.56,15.58,15.59,15.64,15.72,16.46,16.47,16.47
"V DIFF(P-B)",15.65,16.95,16.86,19.08,18,18.24,15.14,13.6,7.37,4.51,5.69,5.77,5.26,5.03,9.68,11.6,11.04,9.66,9.59,8.46,9.17,5.09,5.06,2.78,2.65,4.03,3.6,3,2.61,2.72,3.5,5.03,3.88,5.32,5.24,8.01,5.9,6.92,5.58,8.91,9.73,8.6,9.16
"P Tracking Error",20.62,22.12,22,24.02,22.84,22.99,19.79,18.63,13.11,9.58,11.11,11.11,10.3,11.93,16.17,16.75,15.66,15.14,14.64,14.19,14.81,11.57,10.93,10.76,10.49,9.08,10.09,11.49,8.1,10.04,14.28,15.03,11.93,11.12,9.48,11.11,9.06,9.39,10.06,13.72,13.91,12.67,13.47
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",1.07,1.29,1.41,0.87,1.21,0.53,0.82,0.79,0.81,1.2,1.14,1.18,1.08,0.96,1.08,0.79,1.04,1.1,0.83,1.12,1.35,1.23,1.33,1.3,1.01,1.16,0.89,0.93,1.43,1.34,1.08,0.83,0.95,0.84,0.6,0.32,0.28,0.37,0.4,0.36,0.1,0.23,0.32
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",1.6,1.69,2.08,1.32,1.83,0.87,1.12,0.8,0.93,0.87,0.98,0.94,0.83,1.01,1.31,1.27,1.32,1.23,1.1,1.4,1.56,1.1,1.12,1.03,0.85,0.72,0.69,0.92,1,1.02,1.29,0.96,0.9,0.55,0.35,0.05,0.01,0.09,0.18,0.18,0.04,0.24,0.35
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
