"","3 Y 2016-08-30 to 2019-09-04","3 Y 2016-09-30 to 2019-10-05","3 Y 2016-10-31 to 2019-11-04","3 Y 2016-11-30 to 2019-12-05","3 Y 2016-12-30 to 2020-01-04","3 Y 2017-01-30 to 2020-02-04","3 Y 2017-03-02 to 2020-03-07","3 Y 2017-03-30 to 2020-04-04","3 Y 2017-05-01 to 2020-05-05","3 Y 2017-05-30 to 2020-06-04","3 Y 2017-06-30 to 2020-07-05","3 Y 2017-07-31 to 2020-08-04","3 Y 2017-08-30 to 2020-09-04","3 Y 2017-10-02 to 2020-10-05","3 Y 2017-10-30 to 2020-11-04","3 Y 2017-11-30 to 2020-12-05","3 Y 2018-01-02 to 2021-01-04","3 Y 2018-01-30 to 2021-02-04","3 Y 2018-03-02 to 2021-03-07","3 Y 2018-04-02 to 2021-04-04","3 Y 2018-04-30 to 2021-05-05","3 Y 2018-05-30 to 2021-06-04","3 Y 2018-07-03 to 2021-07-05","3 Y 2018-07-30 to 2021-08-04","3 Y 2018-08-30 to 2021-09-04","3 Y 2018-10-01 to 2021-10-05","3 Y 2018-10-30 to 2021-11-04","3 Y 2018-11-30 to 2021-12-05","3 Y 2018-12-31 to 2022-01-04","3 Y 2019-01-30 to 2022-02-04","3 Y 2019-03-04 to 2022-03-07","3 Y 2019-04-01 to 2022-04-04","3 Y 2019-04-30 to 2022-05-05","3 Y 2019-05-30 to 2022-06-04","3 Y 2019-07-02 to 2022-07-05","3 Y 2019-07-30 to 2022-08-04","3 Y 2019-08-30 to 2022-09-04"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",21.175,12.883,9.066,13.601,8.291,16.798,11.66,4.413,14.173,12.324,15.285,21.718,14.3,18.788,18.857,19.031,15.562,19.591,16.891,19.588,17.9,16.483,17.756,20.917,24.04,19.101,23.007,23.033,24.488,14.989,12.43,15.666,11.609,11.714,4.796,8.84,11.045
"B Annualized Returns",4.589,4.534,4.337,4.356,3.913,4.47,2.211,-4.458,-0.594,1.184,1.868,3.158,3.745,1.557,0.072,2.986,2.577,5.375,5.489,7.515,7.424,7.941,7.956,7.771,9.056,8.167,12.186,11.076,14.582,11.231,10.418,10.978,8.941,9.825,5.188,7.125,5.739
"AR DIFF(P-B)",16.586,8.349,4.729,9.245,4.378,12.328,9.449,8.871,14.767,11.14,13.417,18.56,10.555,17.231,18.785,16.045,12.985,14.216,11.402,12.073,10.476,8.542,9.8,13.146,14.984,10.934,10.821,11.957,9.906,3.758,2.012,4.688,2.668,1.889,-0.391999999999999,1.715,5.306
"P Volatility",25,24.93,18.04,14.18,15.52,16.48,15.18,19.77,26.02,27.32,25.48,25.83,23.93,25.04,23.59,22.53,23.02,22.86,20.67,21.59,21.8,19.99,19.65,18.87,20.6,21.64,21.39,22.67,23.18,22.31,20.72,20.23,22.27,23.09,24.51,26.97,27.1
"B Volatility",9.9,9.93,9.93,10.05,10.07,10.15,10.54,14.95,15.84,15.95,15.94,15.94,16.15,16.15,16.28,17.18,17.4,17.02,17.05,17.26,17.05,17.09,17.33,17.09,17.05,16.5,16.74,16.18,15.72,15.56,15.58,15.75,15.64,15.72,16.46,16.47,16.47
"V DIFF(P-B)",15.1,15,8.11,4.13,5.45,6.33,4.64,4.82,10.18,11.37,9.54,9.89,7.78,8.89,7.31,5.35,5.62,5.84,3.62,4.33,4.75,2.9,2.32,1.78,3.55,5.14,4.65,6.49,7.46,6.75,5.14,4.48,6.63,7.37,8.05,10.5,10.63
"P Tracking Error",19.76,20.12,13.37,10.2,11.16,11.99,10.51,11.22,16.18,16.42,14.45,15.97,13.13,14.79,13.33,12.46,12.48,12.07,9.73,10.44,10.43,8.66,7.47,8.13,14.55,15.08,12.93,13.48,10.14,10.48,9.2,8.51,10.23,10.35,10.38,13.15,15.06
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",0.84,0.41,0.35,0.91,0.39,1.03,0.9,0.79,0.91,0.68,0.93,1.16,0.8,1.17,1.41,1.29,1.04,1.18,1.17,1.16,1,0.99,1.31,1.62,1.03,0.73,0.84,0.89,0.98,0.36,0.22,0.55,0.26,0.18,-0.04,0.13,0.35
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",1.15,0.36,0.36,0.77,0.38,0.86,0.7,0.79,1.18,1.11,1.07,1.44,0.99,1.49,1.47,1.21,1.15,1,0.85,0.96,0.77,0.72,0.86,0.96,1.29,0.85,0.84,0.75,0.35,0.15,0.01,0.22,0.12,-0.07,-0.1,0.13,0.41
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.7,1.6,1.24,0.98,1.07,1.12,1.04,1.09,1.33,1.44,1.37,1.31,1.27,1.28,1.22,1.1,1.12,1.15,1.07,1.1,1.13,1.06,1.05,1,0.87,0.94,1.02,1.13,1.38,1.3,1.21,1.18,1.3,1.36,1.41,1.52,1.44
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
