"","3 Y 2016-11-29 to 2019-12-04","3 Y 2016-12-29 to 2020-01-03","3 Y 2017-01-30 to 2020-02-03","3 Y 2017-03-01 to 2020-03-06","3 Y 2017-03-29 to 2020-04-03","3 Y 2017-05-01 to 2020-05-04","3 Y 2017-05-29 to 2020-06-03","3 Y 2017-06-29 to 2020-07-04","3 Y 2017-07-31 to 2020-08-03","3 Y 2017-08-29 to 2020-09-03","3 Y 2017-09-29 to 2020-10-04","3 Y 2017-10-30 to 2020-11-03","3 Y 2017-11-29 to 2020-12-04","3 Y 2017-12-29 to 2021-01-03","3 Y 2018-01-29 to 2021-02-03","3 Y 2018-03-01 to 2021-03-06","3 Y 2018-03-29 to 2021-04-03","3 Y 2018-04-30 to 2021-05-04","3 Y 2018-05-29 to 2021-06-03","3 Y 2018-06-29 to 2021-07-04","3 Y 2018-07-30 to 2021-08-03","3 Y 2018-08-29 to 2021-09-03","3 Y 2018-10-01 to 2021-10-04","3 Y 2018-10-29 to 2021-11-03","3 Y 2018-11-29 to 2021-12-04","3 Y 2018-12-31 to 2022-01-03","3 Y 2019-01-29 to 2022-02-03","3 Y 2019-03-01 to 2022-03-06","3 Y 2019-03-29 to 2022-04-03","3 Y 2019-04-29 to 2022-05-04","3 Y 2019-05-29 to 2022-06-03","3 Y 2019-07-02 to 2022-07-04","3 Y 2019-07-29 to 2022-08-03","3 Y 2019-08-29 to 2022-09-03"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",14.616,16.954,8.679,12.429,4.997,12.164,14.492,18.738,20.622,16.179,12.882,16.276,17.536,18.658,20.358,17.614,19.336,18.746,16.854,18.475,20.078,23.234,18.471,22.839,21.844,22.428,13.868,12.237,14.042,11.697,10.248,4.688,8.886,6.583
"B Annualized Returns",4.486,3.913,4.653,2.211,-4.458,-0.951,0.677,1.868,3.158,4.276,1.557,-0.442,2.986,2.577,4.083,5.489,7.515,7.407,7.991,7.956,7.766,9.056,8.013,12.185,11.076,14.582,11.715,10.418,10.978,8.696,9.825,5.6,6.409,5.739
"AR DIFF(P-B)",10.13,13.041,4.026,10.218,9.455,13.115,13.815,16.87,17.464,11.903,11.325,16.718,14.55,16.081,16.275,12.125,11.821,11.339,8.863,10.519,12.312,14.178,10.458,10.654,10.768,7.846,2.153,1.819,3.064,3.001,0.423,-0.912,2.477,0.844
"P Volatility",15.92,16.65,15.82,15.52,20.03,21.49,27.92,28.72,24.23,24.47,24.37,23.13,23.23,24.11,22.53,23.19,23.05,22.55,19.18,21.1,20.72,21.08,21.17,22.27,22.69,18.96,20.31,20.73,21.3,21.96,22.8,23.8,24.09,25.4
"B Volatility",10.05,10.07,10.07,10.54,14.95,15.17,15.95,15.94,15.94,16.15,16.15,16.28,17.18,17.4,17.02,17.05,17.26,17.05,17.09,17.33,17.11,17.05,16.63,16.74,16.18,15.72,15.56,15.58,15.75,15.64,15.72,15.95,16.47,16.47
"V DIFF(P-B)",5.87,6.58,5.75,4.98,5.08,6.32,11.97,12.78,8.29,8.32,8.22,6.85,6.05,6.71,5.51,6.14,5.79,5.5,2.09,3.77,3.61,4.03,4.54,5.53,6.51,3.24,4.75,5.15,5.55,6.32,7.08,7.85,7.62,8.93
"P Tracking Error",11.21,12.28,11.15,10.78,11.24,12.64,17.75,18.25,14.72,13.67,12.49,12.43,11.71,14.43,13.24,13.46,12.06,11.92,8.07,8.44,9.68,13.64,13.38,12.72,13.42,7.83,10.24,12.15,11.59,12.04,10.91,10.23,10.01,12.21
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",0.9,1.06,0.36,0.95,0.84,1.04,0.78,0.92,1.19,0.87,0.91,1.34,1.24,1.11,1.23,0.9,0.98,0.95,1.1,1.25,1.27,1.04,0.78,0.84,0.8,1,0.21,0.15,0.26,0.25,0.04,-0.09,0.25,0.07
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.8,0.97,0.38,0.73,0.85,0.68,1.3,1.35,1.36,1.08,1.01,1.28,1.09,1.34,1.14,0.9,0.93,0.82,0.75,0.88,0.94,1.13,0.92,0.74,0.66,0.49,0.26,0.07,0.14,0.05,-0.17,-0.05,0.12,0.01
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.13,1.12,1.12,1.06,1.11,1.16,1.41,1.47,1.23,1.29,1.34,1.22,1.18,1.12,1.07,1.11,1.15,1.13,1.02,1.12,1.07,0.94,0.99,1.1,1.14,1.1,1.13,1.08,1.14,1.19,1.31,1.41,1.39,1.41
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",49.68,44.51,49.48,50.45,68.3,65.54,64.04,65.36,64.29,71.59,78.17,72.66,75.67,63.78,64.71,66.03,73.03,72.23,81.82,84.55,77.9,57.06,58.82,66.97,64.97,83.19,74.89,65.01,70.65,70.9,81.17,88.61,89.34,83.62
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-18.7454,-17.8927,-15.9455,-15.548,-34.3714,-35.6022,-35.3505,-37.1867,-31.2861,-33.5528,-35.8072,-32.8786,-33.5159,-31.8036,-31.1549,-32.7484,-33.4331,-31.5719,-29.6301,-31.6985,-31.4682,-28.7173,-29.6378,-31.746,-31.9545,-30.9607,-32.1945,-29.2877,-31.305,-30.5905,-35.2502,-38.2714,-36.9597,-38.0668
