"","3 Y 2017-05-30 to 2020-06-04","3 Y 2017-06-30 to 2020-07-05","3 Y 2017-07-31 to 2020-08-04","3 Y 2017-08-30 to 2020-09-04","3 Y 2017-10-02 to 2020-10-05","3 Y 2017-10-30 to 2020-11-04","3 Y 2017-11-30 to 2020-12-05","3 Y 2018-01-02 to 2021-01-04","3 Y 2018-01-30 to 2021-02-04","3 Y 2018-03-02 to 2021-03-07","3 Y 2018-04-02 to 2021-04-04","3 Y 2018-04-30 to 2021-05-05","3 Y 2018-05-30 to 2021-06-04","3 Y 2018-07-03 to 2021-07-05","3 Y 2018-07-30 to 2021-08-04","3 Y 2018-08-30 to 2021-09-04","3 Y 2018-10-01 to 2021-10-05","3 Y 2018-10-30 to 2021-11-04","3 Y 2018-11-30 to 2021-12-05","3 Y 2018-12-31 to 2022-01-04","3 Y 2019-01-30 to 2022-02-04","3 Y 2019-03-04 to 2022-03-07","3 Y 2019-04-01 to 2022-04-04","3 Y 2019-04-30 to 2022-05-05","3 Y 2019-05-30 to 2022-06-04","3 Y 2019-07-02 to 2022-07-05","3 Y 2019-07-30 to 2022-08-04","3 Y 2019-08-30 to 2022-09-04"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",11.664,17.243,21.991,17.03,13.909,14.49,16.334,18.135,19.872,16.972,18.884,18.807,18.269,17.263,20.621,22.626,20.064,23.936,21.071,22.023,14.656,12.573,13.091,7.766,13.179,3.696,9.49,8.695
"B Annualized Returns",1.184,1.868,3.158,3.745,1.557,0.072,2.986,2.577,5.375,5.489,7.515,7.424,7.941,7.956,7.771,9.056,8.167,12.186,11.076,14.582,11.231,10.418,10.978,8.941,9.825,5.188,7.125,5.739
"AR DIFF(P-B)",10.48,15.375,18.833,13.285,12.352,14.418,13.348,15.558,14.497,11.483,11.369,11.383,10.328,9.307,12.85,13.57,11.897,11.75,9.995,7.441,3.425,2.155,2.113,-1.175,3.354,-1.492,2.365,2.956
"P Volatility",29.21,27.99,25.44,25.76,25.54,25.06,23.92,22,20.27,20.97,22.83,21.49,20.54,21.06,21.21,22,21.51,20.67,24.05,23.88,21.19,21.18,22.67,21.95,23.93,22.24,22.11,24.98
"B Volatility",15.95,15.94,15.94,16.15,16.15,16.28,17.18,17.4,17.02,17.05,17.26,17.05,17.09,17.33,17.09,17.05,16.5,16.74,16.18,15.72,15.56,15.58,15.75,15.64,15.72,16.46,16.47,16.47
"V DIFF(P-B)",13.26,12.05,9.5,9.61,9.39,8.78,6.74,4.6,3.25,3.92,5.57,4.44,3.45,3.73,4.12,4.95,5.01,3.93,7.87,8.16,5.63,5.6,6.92,6.31,8.21,5.78,5.64,8.51
"P Tracking Error",18.02,17.23,15.97,15.51,14.49,14.27,13.69,14.3,10.15,9.17,9.66,11.58,10.21,10.35,12.01,13.82,14.29,12.92,14.25,10.54,9.28,9.11,9.84,12,12.52,8.63,8.99,10.88
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",0.58,0.89,1.18,0.86,0.85,1.01,0.98,1.09,1.43,1.25,1.18,0.98,1.01,0.9,1.07,0.98,0.83,0.91,0.7,0.71,0.37,0.24,0.21,-0.1,0.27,-0.17,0.26,0.27
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",1.09,1.23,1.44,1.25,1.13,1.15,1.02,1.35,1.03,0.84,0.88,0.85,0.87,0.91,1.02,1.07,0.9,0.93,0.52,0.18,0.14,-0.02,-0.04,-0.16,0.04,-0.2,0.2,0.15
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.54,1.46,1.27,1.31,1.35,1.3,1.15,0.96,1.03,1.11,1.22,1.06,1.04,1.06,1.02,1,0.98,0.97,1.22,1.43,1.25,1.25,1.34,1.19,1.34,1.27,1.25,1.43
