"","1 Y 2016-03-01 to 2017-03-06","1 Y 2016-04-01 to 2017-04-06","1 Y 2016-05-02 to 2017-05-06","1 Y 2016-06-01 to 2017-06-06","1 Y 2016-07-04 to 2017-07-06","1 Y 2016-08-02 to 2017-08-06","1 Y 2016-09-01 to 2017-09-06","1 Y 2016-10-03 to 2017-10-06","1 Y 2016-11-01 to 2017-11-06","1 Y 2016-12-01 to 2017-12-06","1 Y 2017-01-03 to 2018-01-06","1 Y 2017-02-01 to 2018-02-06","1 Y 2017-03-01 to 2018-03-06","1 Y 2017-04-03 to 2018-04-06","1 Y 2017-05-01 to 2018-05-06","1 Y 2017-06-01 to 2018-06-06","1 Y 2017-07-04 to 2018-07-06","1 Y 2017-08-01 to 2018-08-06","1 Y 2017-09-01 to 2018-09-06","1 Y 2017-10-02 to 2018-10-06","1 Y 2017-11-01 to 2018-11-06","1 Y 2017-12-01 to 2018-12-06","1 Y 2018-01-02 to 2019-01-06","1 Y 2018-02-01 to 2019-02-06","1 Y 2018-03-01 to 2019-03-06","1 Y 2018-04-02 to 2019-04-06","1 Y 2018-05-01 to 2019-05-06","1 Y 2018-06-01 to 2019-06-06","1 Y 2018-07-03 to 2019-07-06","1 Y 2018-08-01 to 2019-08-06","1 Y 2018-09-04 to 2019-09-06","1 Y 2018-10-01 to 2019-10-06","1 Y 2018-11-01 to 2019-11-06","1 Y 2018-12-03 to 2019-12-06","1 Y 2019-01-02 to 2020-01-06","1 Y 2019-02-01 to 2020-02-06","1 Y 2019-03-01 to 2020-03-06","1 Y 2019-04-01 to 2020-04-06","1 Y 2019-05-01 to 2020-05-06","1 Y 2019-06-03 to 2020-06-06","1 Y 2019-07-02 to 2020-07-06","1 Y 2019-08-01 to 2020-08-06","1 Y 2019-09-03 to 2020-09-06","1 Y 2019-10-01 to 2020-10-06","1 Y 2019-11-01 to 2020-11-06","1 Y 2019-12-02 to 2020-12-06","1 Y 2020-01-02 to 2021-01-06","1 Y 2020-02-03 to 2021-02-06","1 Y 2020-03-02 to 2021-03-06","1 Y 2020-04-01 to 2021-04-06","1 Y 2020-05-01 to 2021-05-06","1 Y 2020-06-01 to 2021-06-06","1 Y 2020-07-02 to 2021-07-06","1 Y 2020-08-04 to 2021-08-06","1 Y 2020-09-01 to 2021-09-06","1 Y 2020-10-01 to 2021-10-06","1 Y 2020-11-02 to 2021-11-06","1 Y 2020-12-01 to 2021-12-06","1 Y 2021-01-04 to 2022-01-06","1 Y 2021-02-01 to 2022-02-06","1 Y 2021-03-01 to 2022-03-06","1 Y 2021-04-01 to 2022-04-06","1 Y 2021-05-03 to 2022-05-06","1 Y 2021-06-01 to 2022-06-06","1 Y 2021-07-02 to 2022-07-06","1 Y 2021-08-03 to 2022-08-06","1 Y 2021-09-01 to 2022-09-06"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",42.887,42.037,24.48,5.835,22.911,5.563,-1.936,6.592,12.723,8.386,7.159,-5.507,-3.283,-4.545,1.624,5.821,15.348,5.375,73.985,4.107,5.353,-0.64,-4.384,12.769,8.71,21.985,19.154,20.084,15.309,17.991,42.546,37.243,20.827,12.064,18.358,10.891,-17.403,-39.085,-13.97,-16.737,-27.633,-10.874,-10.377,-12.539,-17.819,3.912,8.97,23.166,28.432,107.95,78.758,56.214,68.937,51.106,61.24,76.696,87.668,37.334,25.844,22.444,25.554,14.274,3.763,-5.951,-4.119,-12.366,-17.312
"B Annualized Returns",20.245,18.284,14.086,9.184,7.969,6.331,2.673,8.97,10.333,6.462,6.553,-0.484,-0.535,-1.49,0.623,4.736,7.849,8.504,8.667,2.561,-4.704,-3.075,-12.237,3.432,4.275,8.597,6.856,2.139,2.935,0.222,3.087,2.667,10.241,9.672,18.428,12.224,2.8,-17.583,-9.527,-3.68,-5.199,2.841,0.595,0.21,-3.235,2.624,2.997,1.57,7.844,36.659,28.431,26.722,29.091,23.777,24.224,23.184,34.973,21.594,21.832,20.919,18.085,17.116,8.791,6.391,-5.598,-3.05,-6.522
"AR DIFF(P-B)",22.642,23.753,10.394,-3.349,14.942,-0.768000000000001,-4.609,-2.378,2.39,1.924,0.606,-5.023,-2.748,-3.055,1.001,1.085,7.499,-3.129,65.318,1.546,10.057,2.435,7.853,9.337,4.435,13.388,12.298,17.945,12.374,17.769,39.459,34.576,10.586,2.392,-0.0700000000000003,-1.333,-20.203,-21.502,-4.443,-13.057,-22.434,-13.715,-10.972,-12.749,-14.584,1.288,5.973,21.596,20.588,71.291,50.327,29.492,39.846,27.329,37.016,53.512,52.695,15.74,4.012,1.525,7.469,-2.842,-5.028,-12.342,1.479,-9.316,-10.79
"P Volatility",25.64,16.84,10.34,6.56,12.1,7.72,8.46,8.27,5.23,7.27,9.25,10.11,13.15,15.43,14.63,14.6,15.02,16.89,23.89,16.79,15.75,13.88,12.89,11.86,10.94,14.07,10.32,11.76,9.23,8.32,10.58,14.45,12.28,11.63,12.79,12.76,17.58,35.57,38.42,48.42,49.26,45.12,47.02,40.91,44.39,46.76,41.33,45.7,25.25,33.64,30.06,27.71,32.34,34.34,31.1,33.24,17.97,19.39,14.77,16.3,15.66,16.25,17.1,17.18,17.22,17.26,17.41
"B Volatility",4.59,4.31,4.61,4.75,4.03,4.17,4.12,4.99,5.31,4.94,4.94,5.42,6.49,6.75,7.31,7.74,7.64,7.76,7.45,7.06,10.28,10.57,12.45,15.76,15.74,15.58,15.59,15.97,15.85,15.83,15.77,13.41,13.53,10.7,6.92,6.93,8.86,20.42,22.97,23.32,23.32,24.06,24.01,24.12,23.95,26.16,26.07,25.51,14.1,12.27,12.19,12.09,11.57,11.63,10.62,9.98,7.22,8.37,8.45,8.68,8.69,8.87,9.92,10.03,12.97,13,12.83
"V DIFF(P-B)",21.05,12.53,5.73,1.81,8.07,3.55,4.34,3.28,-0.0799999999999992,2.33,4.31,4.69,6.66,8.68,7.32,6.86,7.38,9.13,16.44,9.73,5.47,3.31,0.440000000000001,-3.9,-4.8,-1.51,-5.27,-4.21,-6.62,-7.51,-5.19,1.04,-1.25,0.930000000000001,5.87,5.83,8.72,15.15,15.45,25.1,25.94,21.06,23.01,16.79,20.44,20.6,15.26,20.19,11.15,21.37,17.87,15.62,20.77,22.71,20.48,23.26,10.75,11.02,6.32,7.62,6.97,7.38,7.18,7.15,4.25,4.26,4.58
"P Tracking Error",24,15.79,9.38,6.97,13.37,6.71,6.86,5.65,6.83,9.04,10.92,11.1,11.7,14.74,12.55,10.62,10.57,13.92,23.19,14.14,14.56,13.59,12.61,15.09,16.79,10.15,13.63,19.07,9.92,13.42,19.95,19.2,16.08,10.65,10.68,11.74,13.81,18.21,20.58,28.14,28.8,26.21,28.79,22.01,26.84,25.96,19.11,23.9,14.5,26.29,22.62,20.27,23.61,25.2,23.24,26.52,17.51,16.92,12.87,12.76,13.38,12.94,11.89,10.7,10.55,10.43,10.75
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
