"","2 Y 2018-05-29 to 2020-06-03","2 Y 2018-06-29 to 2020-07-04","2 Y 2018-07-30 to 2020-08-03","2 Y 2018-08-29 to 2020-09-03","2 Y 2018-10-01 to 2020-10-04","2 Y 2018-10-29 to 2020-11-03","2 Y 2018-11-29 to 2020-12-04","2 Y 2018-12-31 to 2021-01-03","2 Y 2019-01-29 to 2021-02-03","2 Y 2019-03-01 to 2021-03-06","2 Y 2019-03-29 to 2021-04-03","2 Y 2019-04-29 to 2021-05-04","2 Y 2019-05-29 to 2021-06-03","2 Y 2019-07-02 to 2021-07-04","2 Y 2019-07-29 to 2021-08-03","2 Y 2019-08-29 to 2021-09-03","2 Y 2019-09-30 to 2021-10-04","2 Y 2019-10-29 to 2021-11-03","2 Y 2019-11-29 to 2021-12-04","2 Y 2019-12-30 to 2022-01-03","2 Y 2020-01-29 to 2022-02-03","2 Y 2020-03-02 to 2022-03-06","2 Y 2020-03-30 to 2022-04-03","2 Y 2020-04-29 to 2022-05-04","2 Y 2020-05-29 to 2022-06-03","2 Y 2020-06-29 to 2022-07-04","2 Y 2020-07-29 to 2022-08-03","2 Y 2020-08-31 to 2022-09-03"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",-2.513,-10.227,-5.183,-4.486,-4.116,-4.505,-2.429,2.769,-1.211,4.961,8.073,12.759,17.882,8.639,13.07,24.023,14.89,12.657,18.96,13.205,28.038,43.488,91.795,70.149,59.597,43.675,36.799,41.346
"B Annualized Returns",-0.911,-1.131,-0.055,2.172,1.018,1.773,6.894,10.099,6.617,6.101,7.445,7.657,11.583,10.85,11.372,12.761,10.527,13.001,11.653,12.71,11.978,14.648,27.013,19.128,16.804,11.772,9.582,7.673
"AR DIFF(P-B)",-1.602,-9.096,-5.128,-6.658,-5.134,-6.278,-9.323,-7.33,-7.828,-1.14,0.628,5.102,6.299,-2.211,1.698,11.262,4.363,-0.343999999999999,7.307,0.494999999999999,16.06,28.84,64.782,51.021,42.793,31.903,27.217,33.673
"P Volatility",21.49,22.49,22.99,19.14,17.93,21.55,22.86,22.42,22.54,20.86,25.12,28.38,32.05,28.66,30.35,33.7,31.15,34.09,35.2,32.98,32.62,24.28,30.02,24.66,26.47,24.67,27.45,26.9
"B Volatility",19.09,19.02,19.02,19.41,18.73,18.88,19.24,18.69,18.22,18.35,18.68,18.19,18.25,18.67,18.28,18.25,18.6,18.58,18.67,18.67,18.31,11.45,11.45,10.88,11.12,11.12,12.42,12.26
"V DIFF(P-B)",2.4,3.47,3.97,-0.27,-0.800000000000001,2.67,3.62,3.73,4.32,2.51,6.44,10.19,13.8,9.99,12.07,15.45,12.55,15.51,16.53,14.31,14.31,12.83,18.57,13.78,15.35,13.55,15.03,14.64
"P Tracking Error",8.11,8,8.56,6.96,5.73,6.82,7.13,7.29,8.2,10.34,15.4,20.86,20.32,18.62,20.41,21.07,16.51,20.98,22.21,20.25,19.9,18.88,23.83,19.69,21.61,20.46,20.27,20.17
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",-0.2,-1.14,-0.6,-0.96,-0.9,-0.92,-1.31,-1.01,-0.95,-0.11,0.04,0.24,0.31,-0.12,0.08,0.53,0.26,-0.02,0.33,0.02,0.81,1.53,2.72,2.59,1.98,1.56,1.34,1.67
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",-0.26,-0.55,-0.28,-0.59,-0.55,-0.66,-0.86,-0.7,-0.68,-0.33,0.06,0.46,0.27,0.15,0.12,0.42,-0.48,-0.09,0.11,-0.14,1.21,2.04,2.23,2.4,2.49,2.43,1.87,2.32
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.04,1.11,1.13,0.92,0.91,1.09,1.14,1.14,1.16,0.99,1.06,1.06,1.42,1.18,1.26,1.54,1.51,1.55,1.57,1.47,1.5,1.39,1.77,1.43,1.45,1.27,1.61,1.55
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",85.24,87.66,86.69,86.8,90.18,90.1,91.2,90.41,87.95,74.26,60.81,43.54,63.98,57.13,55.09,67.93,80.18,69.58,67.85,67.96,69.12,40.15,43.14,37,33.87,29.46,50.87,47.78
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-39.5945,-42.9431,-40.3225,-36.6401,-34.1255,-38.9947,-40.4934,-39.7243,-38.2353,-34.5981,-34.5506,-34.1262,-41.6682,-36.7241,-38.6211,-45.2837,-43.0508,-47.0443,-46.973,-46.6485,-45.5076,-40.3461,-13.3819,-12.3147,-12.6812,-19.2636,-24.2738,-24.9636
"B Max Drawdown",-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-31.3526,-7.7678,-7.7678,-10.2681,-14.7947,-16.7839,-16.7839
"MD DIFF(P-B)",-3.86799999999999,-7.2166,-4.596,-0.913599999999995,1.601,-3.2682,-4.7669,-3.9978,-2.5088,1.1284,1.1759,1.6003,-5.9417,-0.997599999999998,-2.8946,-9.5572,-7.3243,-11.3178,-11.2465,-10.922,-9.7811,-8.9935,-5.6141,-4.5469,-2.4131,-4.4689,-7.4899,-8.1797
