"","2 Y 2015-11-30 to 2017-12-05","2 Y 2015-12-30 to 2018-01-04","2 Y 2016-02-01 to 2018-02-04","2 Y 2016-03-01 to 2018-03-06","2 Y 2016-03-30 to 2018-04-04","2 Y 2016-05-02 to 2018-05-05","2 Y 2016-05-30 to 2018-06-04","2 Y 2016-06-30 to 2018-07-05","2 Y 2016-08-02 to 2018-08-04","2 Y 2016-08-30 to 2018-09-04","2 Y 2016-09-30 to 2018-10-05","2 Y 2016-10-31 to 2018-11-04","2 Y 2016-11-30 to 2018-12-05","2 Y 2016-12-30 to 2019-01-04","2 Y 2017-01-30 to 2019-02-04","2 Y 2017-03-02 to 2019-03-07","2 Y 2017-03-30 to 2019-04-04","2 Y 2017-05-01 to 2019-05-05","2 Y 2017-05-30 to 2019-06-04","2 Y 2017-06-30 to 2019-07-05","2 Y 2017-07-31 to 2019-08-04","2 Y 2017-08-30 to 2019-09-04","2 Y 2017-10-02 to 2019-10-05","2 Y 2017-10-30 to 2019-11-04","2 Y 2017-11-30 to 2019-12-05","2 Y 2018-01-02 to 2020-01-04","2 Y 2018-01-30 to 2020-02-04","2 Y 2018-03-02 to 2020-03-07","2 Y 2018-04-02 to 2020-04-04","2 Y 2018-04-30 to 2020-05-05","2 Y 2018-05-30 to 2020-06-04","2 Y 2018-07-03 to 2020-07-05","2 Y 2018-07-30 to 2020-08-04","2 Y 2018-08-30 to 2020-09-04","2 Y 2018-10-01 to 2020-10-05","2 Y 2018-10-30 to 2020-11-04","2 Y 2018-11-30 to 2020-12-05","2 Y 2018-12-31 to 2021-01-04","2 Y 2019-01-30 to 2021-02-04","2 Y 2019-03-04 to 2021-03-07","2 Y 2019-04-01 to 2021-04-04","2 Y 2019-04-30 to 2021-05-05","2 Y 2019-05-30 to 2021-06-04","2 Y 2019-07-02 to 2021-07-05","2 Y 2019-07-30 to 2021-08-04","2 Y 2019-08-30 to 2021-09-04","2 Y 2019-09-30 to 2021-10-05","2 Y 2019-10-30 to 2021-11-04","2 Y 2019-12-02 to 2021-12-05","2 Y 2019-12-30 to 2022-01-04","2 Y 2020-01-30 to 2022-02-04","2 Y 2020-03-02 to 2022-03-06","2 Y 2020-03-30 to 2022-04-04","2 Y 2020-04-30 to 2022-05-05","2 Y 2020-06-01 to 2022-06-04","2 Y 2020-06-30 to 2022-07-05","2 Y 2020-07-30 to 2022-08-04","2 Y 2020-08-31 to 2022-09-04"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",30.516,47.009,57.587,29.966,17.861,7.815,8.226,12.852,6.917,6.142,2.324,3.52,4.297,3.473,4.925,6.739,7.018,3.145,26.28,25.956,16.227,16.722,6.341,6.002,9.565,7.875,10.457,20.375,-0.96,14.117,19.392,5.485,16.391,30.06,30.466,14.06,16.03,4.783,-0.444,-0.881,-0.869,6.757,24.658,12.616,16.43,22.32,18.959,17.691,10.688,16.573,24.67,24.412,92.399,62.37,59.119,39.328,32.871,33.576
"B Annualized Returns",9.908,13.106,13.295,9.399,7.159,7.269,7.591,7.859,7.801,6.55,5.861,1.943,1.026,-3.142,1.097,1.918,2.869,3.49,2.513,5.614,4.499,5.253,2.701,2.046,3.167,2.707,5.013,3.634,-5.519,-1.601,-0.379,-1.131,-0.055,1.396,1.018,2.33,6.894,10.099,6.683,6.101,7.445,7.429,11.005,10.85,12.816,12.761,10.906,13.196,11.653,12.71,10.779,14.648,27.013,19.79,16.804,10.798,9.758,7.673
"AR DIFF(P-B)",20.608,33.903,44.292,20.567,10.702,0.546,0.635000000000001,4.993,-0.884,-0.407999999999999,-3.537,1.577,3.271,6.615,3.828,4.821,4.149,-0.345,23.767,20.342,11.728,11.469,3.64,3.956,6.398,5.168,5.444,16.741,4.559,15.718,19.771,6.616,16.446,28.664,29.448,11.73,9.136,-5.316,-7.127,-6.982,-8.314,-0.672000000000001,13.653,1.766,3.614,9.559,8.053,4.495,-0.965,3.863,13.891,9.764,65.386,42.58,42.315,28.53,23.113,25.903
"P Volatility",26.91,26.66,23.9,12.94,12.43,9.64,10.5,8.9,7.53,7.92,7.96,8.25,11.53,12.17,12.25,12.78,13.15,14.94,35.01,31.95,29.82,33.53,9.38,9.91,11.43,9.5,8.39,12.37,18.82,15.2,16.63,18.69,20.06,29.5,29.01,35.44,34.05,38.77,33.52,27.98,35.55,23.4,32.09,26.79,34.2,34.42,27.84,40.87,28.17,24.48,27.59,17.58,31.32,24.32,27.45,27.96,27.91,26.69
"B Volatility",6.65,5.43,5.77,5.82,5.88,6.09,6.09,5.89,6,6,6.16,8.04,8.02,9.4,9.4,11.64,11.65,11.8,11.99,11.98,11.98,11.82,11.72,11.72,12.03,11.96,11.75,12.2,17.88,18.91,19.09,19.02,19.02,19.41,18.73,18.88,19.24,18.69,18.22,18.35,18.68,18.19,18.25,18.67,18.26,18.25,18.34,18.58,18.67,18.67,18.31,11.45,11.45,10.88,11.12,12.42,12.42,12.26
"V DIFF(P-B)",20.26,21.23,18.13,7.12,6.55,3.55,4.41,3.01,1.53,1.92,1.8,0.210000000000001,3.51,2.77,2.85,1.14,1.5,3.14,23.02,19.97,17.84,21.71,-2.34,-1.81,-0.6,-2.46,-3.36,0.17,0.940000000000001,-3.71,-2.46,-0.329999999999998,1.04,10.09,10.28,16.56,14.81,20.08,15.3,9.63,16.87,5.21,13.84,8.12,15.94,16.17,9.5,22.29,9.5,5.81,9.28,6.13,19.87,13.44,16.33,15.54,15.49,14.43
"P Tracking Error",26.2,26.08,23.33,12.94,12.91,7.52,8.6,7.58,6.22,6.64,6.52,8.94,13.78,15.11,14.94,13.8,12.96,14.44,27.74,24.52,23.83,26.97,10.95,12.45,14.74,10.66,11.14,16.33,8.99,10.74,12.56,7.09,12.98,26.11,25.21,25.1,23.15,23.84,18.47,12.77,20.08,10.4,20.24,13.43,21.64,22.21,16.09,27.33,14.22,10.51,13.25,10.9,25.07,20.12,22.76,20.53,20.82,19.41
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",0.79,1.3,1.9,1.59,0.83,0.07,0.07,0.66,-0.14,-0.06,-0.54,0.18,0.24,0.44,0.26,0.35,0.32,-0.02,0.86,0.83,0.49,0.43,0.33,0.32,0.43,0.48,0.49,1.03,0.51,1.46,1.57,0.93,1.27,1.1,1.17,0.47,0.39,-0.22,-0.39,-0.55,-0.41,-0.06,0.67,0.13,0.17,0.43,0.5,0.16,-0.07,0.37,1.05,0.9,2.61,2.12,1.86,1.39,1.11,1.33
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
