"","3 Y 2016-08-30 to 2019-09-04","3 Y 2016-09-30 to 2019-10-05","3 Y 2016-10-31 to 2019-11-04","3 Y 2016-11-30 to 2019-12-05","3 Y 2016-12-30 to 2020-01-04","3 Y 2017-01-30 to 2020-02-04","3 Y 2017-03-02 to 2020-03-07","3 Y 2017-03-30 to 2020-04-04","3 Y 2017-05-01 to 2020-05-05","3 Y 2017-05-30 to 2020-06-04","3 Y 2017-06-30 to 2020-07-05","3 Y 2017-07-31 to 2020-08-04","3 Y 2017-08-30 to 2020-09-04","3 Y 2017-10-02 to 2020-10-05","3 Y 2017-10-30 to 2020-11-04","3 Y 2017-11-30 to 2020-12-05","3 Y 2018-01-02 to 2021-01-04","3 Y 2018-01-30 to 2021-02-04","3 Y 2018-03-02 to 2021-03-07","3 Y 2018-04-02 to 2021-04-04","3 Y 2018-04-30 to 2021-05-05","3 Y 2018-05-30 to 2021-06-04","3 Y 2018-07-03 to 2021-07-05","3 Y 2018-07-30 to 2021-08-04","3 Y 2018-08-30 to 2021-09-04","3 Y 2018-10-01 to 2021-10-05","3 Y 2018-10-30 to 2021-11-04","3 Y 2018-11-30 to 2021-12-05","3 Y 2018-12-31 to 2022-01-04","3 Y 2019-01-30 to 2022-02-04","3 Y 2019-03-04 to 2022-03-07","3 Y 2019-04-01 to 2022-04-04","3 Y 2019-04-30 to 2022-05-05","3 Y 2019-05-30 to 2022-06-04","3 Y 2019-07-02 to 2022-07-05","3 Y 2019-07-30 to 2022-08-04","3 Y 2019-08-30 to 2022-09-04"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",-1.153,0.731,5.074,5.517,7.641,5.909,-0.19,-3.853,-1.159,0.139,-1.38,12.215,-0.727,13.096,13.083,8.361,3.681,7.544,8.434,9.293,11.085,11.5,10.014,12.476,19.196,15.39,14.882,16.719,15.818,11.964,13.301,17.32,15.637,18.255,8.001,16.447,20.393
"B Annualized Returns",4.589,4.534,4.337,4.356,3.913,4.47,2.211,-4.458,-0.594,1.184,1.868,3.158,3.745,1.557,0.072,2.986,2.577,5.375,5.489,7.515,7.424,7.941,7.956,7.771,9.056,8.167,12.186,11.076,14.582,11.231,10.418,10.978,8.941,9.825,5.188,7.125,5.739
"AR DIFF(P-B)",-5.742,-3.803,0.737,1.161,3.728,1.439,-2.401,0.605,-0.565,-1.045,-3.248,9.057,-4.472,11.539,13.011,5.375,1.104,2.169,2.945,1.778,3.661,3.559,2.058,4.705,10.14,7.223,2.696,5.643,1.236,0.733000000000001,2.883,6.342,6.696,8.43,2.813,9.322,14.654
"P Volatility",14.67,14.56,11.1,10.57,11.45,12.77,12.89,18.79,21.21,20.02,15.96,24.44,18.3,22.93,22.23,19.33,20.63,21.32,17.5,15.05,16.88,14.93,13.96,14.29,24.24,24.59,23.12,24.65,24.77,21.64,20.47,20.4,23.26,26.54,29.38,33.79,38.16
"B Volatility",9.9,9.93,9.93,10.05,10.07,10.15,10.54,14.95,15.84,15.95,15.94,15.94,16.15,16.15,16.28,17.18,17.4,17.02,17.05,17.26,17.05,17.09,17.33,17.09,17.05,16.5,16.74,16.18,15.72,15.56,15.58,15.75,15.64,15.72,16.46,16.47,16.47
"V DIFF(P-B)",4.77,4.63,1.17,0.52,1.38,2.62,2.35,3.84,5.37,4.07,0.0200000000000014,8.5,2.15,6.78,5.95,2.15,3.23,4.3,0.449999999999999,-2.21,-0.170000000000002,-2.16,-3.37,-2.8,7.19,8.09,6.38,8.47,9.05,6.08,4.89,4.65,7.62,10.82,12.92,17.32,21.69
"P Tracking Error",9.23,9.81,6.85,7.52,7.99,8.7,8.94,9.75,10.91,9.86,8.27,19.11,9.65,18.62,17.85,16.92,16.95,16.15,13.07,10.04,13.68,11.44,11.79,15.08,25.21,24.62,20.13,19.93,12.14,10.3,9.99,9.38,12.33,15.06,17.38,22.23,26.36
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",-0.62,-0.39,0.11,0.15,0.47,0.17,-0.27,0.06,-0.05,-0.11,-0.39,0.47,-0.46,0.62,0.73,0.32,0.07,0.13,0.23,0.18,0.27,0.31,0.17,0.31,0.4,0.29,0.13,0.28,0.1,0.07,0.29,0.68,0.54,0.56,0.16,0.42,0.56
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",-0.52,-0.32,0.06,0.19,0.48,0.05,-0.13,-0.02,-0.03,-0.06,-0.21,0.68,-0.35,1.19,1.04,0.56,0.43,0.5,0.2,0.02,0.49,0.41,0.56,0.83,1.34,0.9,0.6,0.46,-0.3,-0.13,0.09,0.32,0.5,0.37,0.33,0.9,0.99
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.16,1.09,0.89,0.77,0.83,0.92,0.89,1.08,1.16,1.1,0.87,0.96,0.96,0.84,0.83,0.65,0.73,0.83,0.73,0.71,0.67,0.66,0.59,0.46,0.42,0.5,0.73,0.9,1.44,1.25,1.16,1.16,1.3,1.47,1.53,1.69,1.9
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",60.54,53.55,61.83,52.68,52.08,52.5,51.28,72.64,74.19,75.59,74.2,37.13,71.48,33.29,35.18,31.19,35.8,42.69,49.54,65.47,43.9,55.37,52.76,28.19,5.86,8.46,25.78,33.07,83.38,79.92,76.97,79.81,75.16,74.67,73.21,67.24,66.52
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-24.3827,-23.5883,-13.6606,-12.9952,-12.1816,-13.3607,-15.513,-37.4756,-39.2276,-36.9835,-32.9655,-33.5368,-36.8671,-28.2318,-27.5305,-24.991,-29.4775,-33.5203,-34.3466,-32.4025,-29.3729,-27.633,-25.6018,-24.8515,-27.4089,-26.6107,-28.5112,-30.2824,-43.9445,-38.8396,-36.7348,-34.7453,-37.3232,-40.9673,-45.5221,-50.9053,-56.0432
"B Max Drawdown",-13.4446,-13.4446,-13.4446,-13.4447,-13.4446,-13.4446,-13.4446,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265
"MD DIFF(P-B)",-10.9381,-10.1437,-0.216000000000001,0.449499999999999,1.263,0.0838999999999999,-2.0684,-1.7491,-3.5011,-1.257,2.761,2.1897,-1.1406,7.4947,8.196,10.7355,6.249,2.2062,1.3799,3.324,6.3536,8.0935,10.1247,10.875,8.3176,9.1158,7.2153,5.4441,-8.218,-3.1131,-1.0083,0.981200000000001,-1.5967,-5.2408,-9.7956,-15.1788,-20.3167
